DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/04,1 Economic,,Local,WIND,103,128
02/04,2 Economic,,Local,WIND,89,101
02/04,3 Economic,,Local,WIND,98,130
02/04,4 Economic,,Local,WIND,99,110
02/04,5 Economic,,Local,WIND,126,142
02/04,6 Economic,,Local,WIND,131,141
02/04,7 Economic,,Local,WIND,120,137
02/04,8 Economic,,Local,WIND,136,
02/04,8 Economic,,System,SOLR,129,441
02/04,8 Economic,,System,WIND,60,391
02/04,9 Economic,,Local,SOLR,75,228
02/04,9 Economic,,Local,WIND,215,371
02/04,9 Economic,,System,SOLR,475,471
02/04,9 Economic,,System,WIND,121,129
02/04,10 Economic,,Local,SOLR,216,239
02/04,10 Economic,,Local,WIND,154,243
02/04,10 Economic,,System,SOLR,487,538
02/04,10 Economic,,System,WIND,53,80
02/04,11 Economic,,Local,SOLR,439,522
02/04,11 Economic,,Local,WIND,337,377
02/04,11 Economic,,System,SOLR,377,320
02/04,11 Economic,,System,WIND,32,19
02/04,11 SelfSchCut,,Local,SOLR,3,35
02/04,11 SelfSchCut,,Local,WIND,28,144
02/04,12 Economic,,Local,SOLR,543,540
02/04,12 Economic,,Local,WIND,371,379
02/04,12 Economic,,System,SOLR,288,317
02/04,12 Economic,,System,WIND,2,
02/04,12 SelfSchCut,,Local,SOLR,24,206
02/04,12 SelfSchCut,Local,WIND,35,119
02/04,13 Economic,Local,SOLR,633,226
02/04,13 Economic,Local,WIND,232,165
02/04,13 Economic,System,SOLR,92,787
02/04,13 Economic,System,WIND,5,23
02/04,14 Economic,Local,SOLR,817,912
02/04,14 Economic,Local,WIND,200,206
02/04,15 Economic,Local,SOLR,722,854
02/04,15 Economic,Local,WIND,224,361
02/04,15 Economic,System,SOLR,3,
02/04,15 Economic,System,WIND,1,
02/04,16 Economic,Local,SOLR,359,874
02/04,16 Economic,Local,WIND,200,308
02/04,16 Economic,System,SOLR,11,31
02/04,16 Economic,System,WIND,40,107
02/04,16 SelfSchCut,Local,SOLR,0,1
02/04,17 Economic,Local,WIND,106,150
02/04,17 Economic,System,SOLR,66,465
02/04,17 Economic,System,WIND,12,51
02/04,18 Economic,Local,WIND,66,110
02/04,19 Economic,Local,WIND,73,120
02/04,20 Economic,Local,WIND,84,130
02/04,21 Economic,Local,WIND,83,107
02/04,22 Economic,Local,WIND,63,82
02/04,23 Economic,Local,WIND,83,98
02/04,24 Economic,Local,WIND,49,79
